Haber,Yorum
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı.",
,istanbulda olmadı deprem haberi bari doğru yapın
,deprem istanbulda olmadıki yanlış yere gitmiş keşke bursalılara gitseymiş
,mesajı almak için 61 km uzakta mı olmak gerekiyor?
,61 km uzakta bulunanlara mı gitti 
,Iphone lara dünyanın parası veriliyor onları kullananların suçu ne fazla para vermeleri mi?
,Bir android kadar erken bilgilendirme sistemi yapılamıyor malesef..
,Ya Amerika'dır ya da uzaylılar yani sonuçta dış güçler:)))
,20 sanıye kadar önce geldi o mesaj
